0.1	0	0
0.11	0	0
0.12	0	0
0.13	0	0
0.14	0	0
0.15	1.1104	0.185067
0.16	0	0.158629
0.17	0	0.1388
0.18	0	0.123378
0.19	2.2208	0.33312
0.2	0	0.302836
0.21	0	0.2776
0.22	0	0.256246
0.23	3.3312	0.475886
0.24	0	0.44416
0.25	0	0.4164
0.26	3.3312	0.587859
0.27	0	0.5552
0.28	0	0.525979
0.29	0	0.49968
0.3	6.6624	0.793143
0.31	0	0.757091
0.32	0	0.724174
0.33	9.9936	1.1104
0.34	0	1.06598
0.35	0	1.02498
0.36	0	0.987022
0.37	13.3248	1.42766
0.38	0	1.37843
0.39	0	1.33248
0.4	0	1.2895
0.41	19.9872	1.8738
0.42	0	1.81702
0.43	0	1.76358
0.44	29.9808	2.56978
0.45	0	2.4984
0.46	0	2.43088
0.47	0	2.36691
0.48	46.6368	3.50203
0.49	0	3.41448
0.5	0	3.3312
0.51	69.9552	4.91749
0.52	0	4.80313
0.53	0	4.69396
0.54	0	4.58965
0.55	103.267	6.73482
0.56	0	6.59152
0.57	0	6.4542
0.58	0	6.32248
0.59	156.566	9.32736
0.6	0	9.14447
0.61	0	8.96862
0.62	233.184	13.1991
0.63	0	12.9547
0.64	0	12.7191
0.65	0	12.492
0.66	349.776	18.4093
0.67	0	18.0919
0.68	0	17.7852
0.69	386.419	23.9291
0.7	139.91	25.8305
0.71	0	25.4138
0.72	0	25.0104
0.73	789.494	36.9555
0.74	0	36.387
0.75	0	35.8356
0.76	1182.58	52.9512
0.77	0	52.1725
0.78	0	51.4163
0.79	1081.53	66.1323
0.8	694	74.9755
0.81	0	73.9341
0.82	0	72.9213
0.83	2181.94	101.422
0.84	479.693	106.465
0.85	0	105.064
0.86	662.909	112.309
0.87	2598.34	144.181
0.88	732.864	151.633
0.89	0	149.737
0.9	1459.07	165.902
0.91	2328.51	192.275
0.92	2201.92	216.488
0.93	106.598	215.18
0.94	2437.33	241.323
0.95	2344.05	265.773
0.96	2637.2	293.031
0.97	2531.71	318.47
0.98	2463.98	342.577
0.99	2365.15	365.05
1	2681.62	390.507
1.01	2944.78	418.271
1.02	2920.35	445.175
1.03	2953.66	471.861
1.04	2659.41	494.888
1.05	0	489.733
1.06	0	484.684
1.07	0	479.738
1.08	0	474.892
1.09	0	470.143
1.1	0	465.488
1.11	0	460.925
1.12	0	456.45
1.13	0	452.061
1.14	0	447.756
1.15	0	443.531
1.16	0	439.386
1.17	0	435.318
1.18	0	431.324
1.19	0	427.403
1.2	0	423.553
1.21	0	419.771
1.22	0	416.056
1.23	0	412.406
1.24	0	408.82
1.25	0	405.296
1.26	0	401.832
1.27	0	398.427
1.28	0	395.078
1.29	0	391.786
1.3	0	388.548
1.31	0	385.363
1.32	0	382.23
1.33	0	379.148
1.34	0	376.115
1.35	0	373.13
1.36	0	370.192
1.37	0	367.3
1.38	0	364.452
1.39	0	361.649
1.4	0	358.888
1.41	0	356.169
1.42	0	353.491
1.43	0	350.853
1.44	0	348.254
1.45	0	345.694
1.46	0	343.17
1.47	0	340.684
1.48	0	338.233
1.49	0	335.817
1.5	0	333.435
1.51	0	331.087
1.52	0	328.772
1.53	0	326.488
